"ESTUDIO";"REGISTRO";"CUES";"CCAA";"PROV";"MUN";"CAPITAL";"TAMUNI";"ENTREV";"TIPO_TEL";"SEXO";"EDAD";"P0";"ADQUINAC";"PAISNAC";"PAISNAC2";"P1";"P2_1";"P2_2";"P2_3";"P2_4";"P2_5";"P2_6";"P2_7";"P2_8";"P3";"P4";"PAREJA";"P4A";"P4B";"P4C";"P4D";"P5";"P6_1";"P6_2";"P6_3";"P6_4";"P6_5";"P7_1";"P7_2";"P7_3";"P7_4";"P7_5";"P7_6";"P7_7";"P7_96";"P7_97";"P7_99";"P8";"P9";"P10";"P11";"P12";"PPERHOG";"HIJOS";"NUMHIJOS";"ESCIDEOL";"PROBVOTO";"INTENCIONG";"SIMPATIA";"PARTICIPACIONG";"RECUVOTOG";"RECUERDO";"ESCUELA";"NIVELESTENTREV";"ESTUDIOS";"RELIGION";"PRACTICARELIG6";"SITLAB";"RELALAB";"CNO11";"CNO11R";"INGRESHOG";"INGRESOSHOG2";"CLASESOCIAL";"CLASESUB";"SINCERIDAD";"PESO";"PESOCCAA";"P12R";"INTENCIONGR";"VOTOSIMG";"RECUVOTOGR";"IA_I501";"IA_I502";"IA_I503";"IA_I504";"IA_I505";"IA_I506";"IA_I507";"IA_I508";"IA_I509";"IA_I510";"IA_I511";"IA_I512";"IA_I513";"IA_I514";"IA_I515";"IA_I516";"IA_I517";"IA_I518";"IA_I519";"IA_I520";"IA_I521";"IA_I522";"IA_I523";"IA_I524";"IA_I525";"IA_I526";"IA_I528";"IA_I529";"IA_I530";"IA_I531";"IA_I532";"IA_I533";"IA_I534";"IA_I535";"IA_I536";"IA_I537";"IA_I538";"IA_I539";"IA_I540";"IA_I541";"IA_I542";"IA_I543";"IA_OBS1";"IA_OBS2";"IA_E1_DIA";"IA_E1_MES";"IA_E1_ANYO";"IA_E2";"IA_E3";"IA_E4";"IA_VALIDA";"IA_APLAZADA";"IA_MODIFICADA";"IA_SUPERVISADA";"IA_C2";"IA_C2A";"IA_C2B_26";"IA_C2B_27";"IA_C2B_28";"IA_C2B_29";"IA_C2B_30";"IA_C2B_31";"IA_C2B_32";"IA_C2B_33";"IA_C2B_34";"IA_C2B_35";"IA_C2B_36";"IA_C2B_37";"IA_C2B_38";"IA_C2B_39";"IA_C2B_40";"IA_C2B_41";"IA_C2B_42";"IA_C2B_43";"IA_C2B_44";"IA_C2B_45";"IA_C3";"IA_C4"
3501;149003;3215;13;28;79;1;7;0;2;2;57;3;0;2;351;3;1;1;1;1;1;1;1;1;20;2;4;0;0;0;0;4;4;1;2;5;5;2;2;2;2;2;2;2;2;2;1;1;1;4;7;1;5;1;4;99;97;0;0;0;0;0;3;14;6;1;6;1;9;2;2;99;99;3;2;2;0,45758;0,83487;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;1;1;0;4;0;0;0;0;3;0;"";"";28;1;25;2;12;2;1;0;0;0;1;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
3501;149087;3216;13;28;79;1;7;0;2;2;49;1;1;1;0;3;1;1;2;1;2;1;1;1;4;1;3;2023;1;2;0;2;1;2;5;4;1;1;1;1;1;2;1;1;2;2;2;6;1;4;1;1;2;1;1;5;10;2;0;1;2;2;3;13;6;2;1;1;1;2;2;99;99;3;2;1;0,51632;0,87513;1;2;2;2;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;29;0;"";"";28;1;25;2;11;2;1;0;0;0;1;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
3501;149171;3217;10;3;0;3;4;0;2;2;28;1;1;1;0;2;1;1;2;1;2;1;1;1;1;1;2;2022;1;1;2;2;1;2;4;5;1;1;1;1;1;1;1;1;1;2;2;15;2;4;2;3;2;2;0;2;10;9998;1;1;21;21;3;7;5;2;1;1;1;5;5;3;3;3;2;4;0,57275;0,95917;3;9998;1;21;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;4;0;"";"";28;1;25;2;16;2;1;0;0;1;6;1;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";1;0
3501;149182;3218;7;16;0;3;3;0;1;1;52;1;2;2;351;1;1;2;1;1;2;1;1;1;2;1;3;1998;2;1;1;2;2;5;5;5;4;1;1;1;1;2;1;2;2;2;2;2;5;4;1;1;4;1;2;5;10;9999;9999;1;9999;9999;3;7;5;1;5;1;1;8;8;6;6;3;2;1;0,49437;0,92655;1;9999;9999;9999;0;0;0;0;0;0;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;3;0;0;0;0;0;0;0;2;2;0;76;0;0;0;0;90;0;"";"";28;1;25;2;19;2;1;1;0;0;1;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
3501;149368;3219;16;48;0;3;3;0;2;2;70;1;1;1;0;2;1;2;1;1;2;1;2;1;2;1;3;1975;1;1;1;2;2;2;5;5;2;1;1;1;1;2;1;2;2;2;2;2;1;4;4;1;2;1;2;3;4;1;0;1;1;1;3;7;5;2;1;2;0;0;12;8;5;3;2;1;0,32416;1,13325;1;1;1;1;0;0;0;0;0;0;12;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;5;0;0;0;0;0;0;0;1;2;0;67;1;0;0;1;77;2;"";"";28;1;25;2;13;2;1;0;0;0;1;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
3501;149415;3220;16;1;59;1;5;0;2;1;28;3;0;2;315;1;1;1;1;1;2;1;1;1;7;1;3;2024;1;2;0;1;4;1;1;1;2;1;1;1;1;1;1;2;2;2;2;20;2;4;1;2;1;2;0;5;97;0;0;0;0;0;3;13;6;3;3;1;1;2;2;9;0;1;1;1;0,4333;1,07127;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;"";"";30;1;25;4;15;3;1;0;0;0;1;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
3501;149841;3221;9;8;0;3;3;0;1;2;73;1;1;1;0;2;2;2;2;1;2;1;1;1;3;1;3;1977;1;1;1;2;2;2;4;4;2;1;1;1;1;2;2;1;1;2;2;6;1;4;2;1;2;1;2;2;10;1;0;1;1;1;3;6;4;2;3;2;0;0;12;7;6;3;2;2;0,79334;1,28822;1;1;1;1;0;0;0;0;0;0;25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;13;0;0;1;0;0;0;0;2;0;0;136;0;0;0;1;187;0;"";"";28;1;25;2;24;2;1;0;0;0;1;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
3501;149994;3222;4;7;0;3;2;0;2;1;32;3;0;2;340;2;2;2;2;2;2;1;2;1;1;1;2;2010;2;1;4;3;4;1;1;5;2;1;1;1;1;1;1;1;1;2;2;3;5;4;4;1;2;2;0;8;97;0;0;0;0;0;3;6;4;4;0;1;1;4;4;8;6;3;2;1;1,53361;1,22301;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;22;0;0;0;0;34;0;"";"";28;1;25;2;11;2;1;0;0;0;1;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
3501;150010;3223;16;48;0;3;2;0;1;2;28;1;1;1;0;2;1;1;1;1;2;1;1;1;3;2;4;0;0;0;0;2;1;2;4;4;2;1;1;1;1;2;1;1;2;2;2;10;1;3;4;1;2;2;0;3;10;1602;0;1;1;1;3;10;6;4;0;1;1;2;2;8;7;3;2;2;0,71697;0,80987;1;1602;1602;1;0;0;0;0;0;0;38;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;7;0;0;1;0;0;0;0;5;1;0;187;3;0;0;0;260;1;"";"";28;1;25;2;10;2;1;0;0;0;1;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
3501;150092;3224;7;45;0;3;2;0;2;1;58;1;1;1;0;2;1;3;2;1;2;1;1;1;3;2;4;0;0;0;0;3;2;2;2;4;2;1;1;1;1;1;1;1;1;2;2;3;5;4;5;1;1;1;2;7;8;2;0;1;2;2;3;7;5;6;0;1;1;8;8;6;0;3;2;1;0,48759;0,79638;1;2;2;2;0;0;0;0;0;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;4;0;0;0;0;0;0;0;1;0;0;77;1;0;1;0;88;0;"";"";28;1;25;2;14;2;1;0;0;0;1;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
