"ESTUDIO";"ENTREV";"REGISTRO";"CUES";"TIPO_TEL";"CCAA";"PROV";"MUN";"TAMUNI";"CAPITAL";"SEXO";"EDAD";"NACIONALIDAD";"ADQUINAC";"PAISNAC";"PAISNAC2";"P1";"P2";"P3";"P4_1";"P4_2";"P4_3";"P4_4";"P4_5";"P4_6";"P4_7";"P5";"P6";"P7";"P8";"P9";"P10";"P10A";"P11";"P12";"P13";"P14";"P15_A_1";"P15_A_2";"P15_A_3";"P15_A_4";"P15_A_5";"P15_A_6";"P15_B_1";"P15_B_2";"P15_B_3";"P15_B_4";"P15_B_5";"P15_B_6";"P16";"P17";"P18_A_1";"P18_A_2";"P18_A_3";"P18_A_4";"P18_B_1";"P18_B_2";"P18_B_3";"P18_B_4";"P19";"P20";"P21_1";"P21_2";"P21_3";"P22_A_1";"P22_A_2";"P22_A_3";"P22_A_4";"P22_A_5";"P22_A_6";"P22_A_7";"P22_B_1";"P22_B_2";"P22_B_3";"P22_B_4";"P22_B_5";"P22_B_6";"P22_B_7";"ESCIDEOL";"PROBVOTO";"INTENCIONGR";"SIMPATIA";"VOTOSIMGR";"PREFPTE";"P28";"PARTICIPACIONG";"RECUVOTOG";"CERCANIA";"CERCANIAR2";"ESCUELA";"NIVELESTENTREV";"RELIGION";"PRACTICARELIG6";"ECIVIL";"SITLAB";"RELALAB";"CNO11";"INGRESHOG";"CLASESOCIAL";"SINCERIDAD";"V2_1";"V2_2";"V2_3";"V3";"IA_I501";"IA_I502";"IA_I503";"IA_I504";"IA_I505";"IA_I506";"IA_I507";"IA_I508";"IA_I509";"IA_I510";"IA_I511";"IA_I512";"IA_I513";"IA_I514";"IA_I515";"IA_I516";"IA_I517";"IA_I518";"IA_I519";"IA_I520";"IA_I521";"IA_I522";"IA_I523";"IA_I524";"IA_I525";"IA_I526";"IA_I528";"IA_I529";"IA_I530";"IA_I531";"IA_I532";"IA_I533";"IA_I534";"IA_I535";"IA_I536";"IA_I537";"IA_I538";"IA_I539";"IA_I540";"IA_I541";"IA_I542";"IA_I543";"IA_OBS1";"IA_OBS2";"IA_E1_DIA";"IA_E1_MES";"IA_E1_ANYO";"IA_E2";"IA_E3";"IA_E4";"IA_VALIDA";"IA_APLAZADA";"IA_MODIFICADA";"IA_SUPERVISADA";"IA_C2";"IA_C2A";"IA_C2B_26";"IA_C2B_27";"IA_C2B_28";"IA_C2B_29";"IA_C2B_30";"IA_C2B_31";"IA_C2B_32";"IA_C2B_33";"IA_C2B_34";"IA_C2B_35";"IA_C2B_36";"IA_C2B_37";"IA_C2B_38";"IA_C2B_39";"IA_C2B_40";"IA_C2B_41";"IA_C2B_42";"IA_C2B_43";"IA_C2B_44";"IA_C2B_45";"IA_C3";"IA_C4";"INTENCIONG";"SIMPATIAR";"VOTOSIMG";"RECUVOTOGR";"RECUERDO";"CERCANIAR";"ESTUDIOS";"CNO11R";"CLASESUB";"PESO";"PESOCCAA"
3555;0;181457;3775;2;13;28;79;7;1;2;35;1;1;1;0;4;5;1;2;2;4;1;4;2;1;2;0;0;0;2;4;2;2;2;1;2;1;2;2;2;2;2;2;0;0;0;0;0;2;1;1;2;1;2;1;0;3;0;2;4;5;2;4;1;1;1;1;1;1;1;1;1;1;2;1;2;1;1;10;9998;1602;8995;13;1;1;21;1602;1602;3;14;6;0;2;1;1;2;5;5;1;2;8;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;0;0;0;0;8;0;"";"";11;3;26;3;21;4;1;0;0;0;1;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";9998;8995;8995;21;21;1602;6;2;4;0,56375;0,85929
3555;0;181821;3779;2;13;28;79;7;1;1;83;1;1;1;0;2;2;1;2;2;1;4;4;2;4;2;0;0;0;2;5;0;2;10;1;1;2;2;2;2;2;2;0;0;0;0;0;0;5;2;0;0;0;0;0;0;0;0;0;4;5;5;4;1;1;2;2;2;2;2;2;2;0;0;0;0;0;6;5;2;0;2;97;2;2;0;2;2;3;16;1;5;3;2;0;0;9;96;1;2;2;2;2;0;0;0;0;0;1;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;11;0;0;0;0;22;0;"";"";11;3;26;3;21;4;1;0;0;0;1;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";2;0;2;0;9997;2;7;12;6;4,94312;1,10381
3555;0;182740;3795;2;13;28;79;7;1;2;40;2;2;2;345;1;1;1;1;8;1;5;5;5;1;1;1;1;0;0;0;0;1;0;1;2;2;2;2;2;2;2;0;0;0;0;0;0;5;2;0;0;0;0;0;0;0;0;0;4;8;5;1;1;1;1;1;1;1;1;2;2;2;2;2;2;2;9;10;9998;3;3;12;8;1;3;3;3;3;7;3;5;1;7;0;0;1;3;1;2;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;8;0;0;0;0;15;0;"";"";11;3;26;3;18;4;1;0;0;0;1;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";9998;3;3;3;3;3;5;14;2;0,56375;0,85929
3555;0;183581;3812;2;13;28;79;7;1;2;56;3;0;2;348;4;1;1;1;5;1;4;4;4;1;1;1;1;0;0;0;0;1;0;1;2;2;2;2;2;2;2;0;0;0;0;0;0;5;2;0;0;0;0;0;0;0;0;0;4;5;5;1;1;1;2;2;1;2;2;1;1;0;0;1;0;0;99;97;0;0;0;0;0;0;0;3;3;3;11;1;5;2;1;3;5;5;3;2;2;1;1;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;11;0;"";"";11;3;26;3;13;4;1;0;0;0;1;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0;0;0;0;0;3;6;5;2;0,39893;0,90084
3555;0;184876;3825;2;13;28;79;7;1;2;22;2;2;2;326;4;2;2;2;2;2;2;5;2;2;2;0;0;0;2;2;1;2;2;3;2;2;2;2;2;2;2;0;0;0;0;0;0;3;2;0;0;0;0;0;0;0;0;0;4;5;4;4;1;1;1;2;1;1;2;1;2;1;0;2;1;0;1;5;1;0;1;97;1;2;0;1;1;3;5;6;0;2;1;1;5;4;4;1;2;2;2;2;0;0;0;0;0;0;17;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;6;0;0;0;0;0;0;0;2;1;0;73;0;0;1;0;53;0;"";"";12;3;26;4;16;1;1;0;0;0;1;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";1;0;1;0;9997;1;5;5;3;1,59139;0,99388
3555;0;185054;3831;2;13;28;79;7;1;1;48;1;1;1;0;1;2;2;1;2;1;1;1;2;2;1;1;1;0;0;0;0;1;0;1;1;2;2;2;2;2;2;0;0;0;0;0;0;4;1;1;1;2;2;3;3;0;0;1;1;2;2;4;1;1;2;1;1;1;1;1;8;0;1;1;1;1;1;10;9998;21;21;98;1;1;21;9997;0;3;7;2;3;2;1;1;3;3;5;2;2;2;2;1;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;4;1;"";"";12;3;26;4;14;1;1;0;0;0;1;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";9998;21;21;21;21;9997;5;3;4;0,43767;0,82661
3555;0;185595;3840;2;13;28;79;7;1;1;30;1;1;1;0;2;2;1;2;1;2;1;1;2;1;1;1;1;0;0;0;0;1;0;1;1;2;2;2;1;2;2;0;0;0;3;0;0;4;1;1;1;1;2;2;2;2;0;4;3;1;2;2;1;1;1;1;1;1;1;1;2;1;2;1;1;1;8;10;3;0;3;3;5;1;3;3;3;3;13;2;1;2;1;1;3;1;1;1;2;2;2;2;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16;0;0;0;0;9;0;"";"";12;3;26;4;19;1;1;0;0;0;1;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";3;0;3;3;3;3;6;3;1;0,42456;0,81137
3555;0;185660;3842;2;13;28;79;7;1;1;31;1;1;1;0;2;1;1;1;2;1;4;2;2;1;2;0;0;0;1;1;1;1;0;1;1;2;2;2;2;2;2;0;0;0;0;0;0;2;1;1;1;2;2;4;2;0;0;5;4;2;2;2;1;1;1;2;1;2;2;1;1;1;0;1;0;0;5;5;6;0;6;97;2;1;1;1;1;3;15;6;0;2;1;1;2;2;3;1;2;2;2;2;0;0;0;0;0;0;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;1;0;0;0;0;1;1;0;44;0;0;0;0;45;1;"";"";12;3;26;4;20;1;1;0;0;0;1;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";6;0;6;1;1;1;6;2;2;0,42456;0,81137
3555;0;185746;3844;2;13;28;79;7;1;1;34;1;1;1;0;2;1;2;1;4;1;2;5;5;1;1;1;1;0;0;0;0;1;0;1;1;2;2;1;2;2;2;0;0;1;0;0;0;3;1;1;1;1;1;2;2;2;2;3;4;2;1;1;1;1;1;2;1;2;1;1;1;1;0;1;0;1;10;10;3;0;3;3;8;1;3;3;3;3;13;2;3;2;1;1;10;1;3;1;2;2;2;2;0;0;0;0;0;0;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;2;0;0;32;0;1;0;0;39;2;"";"";12;3;26;4;13;1;1;0;0;0;1;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";3;0;3;3;3;3;6;10;2;0,42456;0,81137
3555;0;185973;3846;2;13;28;79;7;1;2;58;1;1;1;0;2;1;1;2;1;2;1;1;2;2;1;1;1;0;0;0;0;1;0;1;2;2;2;2;2;2;2;0;0;0;0;0;0;4;2;0;0;0;0;0;0;0;0;0;4;8;8;2;1;1;1;1;1;2;1;1;1;1;1;1;0;1;3;10;9998;1;1;98;1;1;1;1;1;3;11;2;2;1;4;0;0;4;5;1;2;2;2;2;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;4;0;"";"";12;3;26;4;13;1;1;0;0;0;1;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";9998;1;1;1;1;1;6;16;4;0,39893;0,90084
